,Title,Tatometer,Audience Score,MPAA,Genre,Director,Writer,Box Office
40,THE MALTESE FALCON,100%,91%,PG,"Drama, Mystery & Suspense",John Huston,John Huston,"$136,019,448"
41,A HARD DAY'S NIGHT,98%,89%,G,"Classics, Comedy, Musical & Performing Arts",Richard Lester,Alun Owen,"$50,628,650"
42,TOP HAT,100%,91%,NR,"Classics, Comedy, Musical & Performing Arts, Romance",Mark Sandrich,Dwight Taylor,"$341,264,012"
43,THE PHILADELPHIA STORY,100%,93%,NR,"Classics, Comedy, Romance",George Cukor,Donald Ogden Stewart,"$146,872,826"
44,REBECCA,100%,92%,NR,"Classics, Drama, Mystery & Suspense",Alfred Hitchcock,Joan Harrison,"$334,166,825"
45,WIDOWS,91%,61%,"R (for violence, language throughout, and some sexual content/nudity)",Drama,Steve McQueen (III),Steve McQueen (III),"$334,166,825"
46,SEVEN SAMURAI (SHICHININ NO SAMURAI),100%,97%,G,"Action & Adventure, Art House & International, Classics, Drama",Akira Kurosawa,Akira Kurosawa,"$334,166,825"
47,THE NIGHT OF THE HUNTER,99%,90%,PG,"Drama, Mystery & Suspense",Charles Laughton,James Agee,"$334,166,825"
48,NORTH BY NORTHWEST,99%,94%,NR,"Classics, Mystery & Suspense",Alfred Hitchcock,Ernest Lehman,"$334,166,825"
49,WON'T YOU BE MY NEIGHBOR?,98%,94%,PG-13 (for some thematic elements and language),Documentary,Morgan Neville,Ernest Lehman,"$334,166,825"
50,SHOPLIFTERS (MANBIKI KAZOKU),99%,91%,R (for some sexual content and nudity),"Art House & International, Drama",Hirokazu Koreeda,Hirokazu Koreeda,"$17,599"
51,BICYCLE THIEVES (LADRI DI BICICLETTE) (THE BICYCLE THIEF),98%,94%,NR,Drama,Vittorio De Sica,Cesare Zavattini,"$17,599"
52,SUNSET BOULEVARD,98%,95%,G,"Classics, Drama",Billy Wilder,"D.M. Marshman, Jr.","$17,599"
53,SHAZAM!,90%,82%,"PG-13 (for intense sequences of action, language, and suggestive material)","Action & Adventure, Science Fiction & Fantasy",David F. Sandberg,Henry Gayden,"$17,599"
54,TOUCH OF EVIL,96%,92%,PG-13 (for some violence and drug content),"Classics, Drama, Mystery & Suspense",Orson Welles,Orson Welles,"$17,599"
55,PSYCHO,95%,95%,"R (adult situations/language, violence)","Classics, Horror, Mystery & Suspense",Alfred Hitchcock,Joseph Stefano,"$26,973,524"
56,TOY STORY 2,100%,86%,G,"Animation, Comedy, Kids & Family",John Lasseter,Doug Chamberlain,"$292,979,556"
57,A STREETCAR NAMED DESIRE,98%,90%,PG,"Classics, Drama",Elia Kazan,Tennessee Williams,"$292,979,556"
58,CHINATOWN,99%,93%,R,"Classics, Drama, Mystery & Suspense",Roman Polanski,Robert Towne,"$292,979,556"
59,THE LADY VANISHES,98%,88%,PG,"Classics, Mystery & Suspense",Alfred Hitchcock,Alma Reville,"$292,979,556"
60,REAR WINDOW,99%,95%,PG,"Classics, Drama, Mystery & Suspense",Alfred Hitchcock,John Michael Hayes,"$292,979,556"
61,PINOCCHIO,100%,73%,G,"Animation, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",Hamilton Luske,Aurelius Battaglia,"$408,080,554"
62,12 ANGRY MEN (TWELVE ANGRY MEN),100%,97%,NR,"Classics, Drama",Sidney Lumet,Reginald Rose,"$414,984,497"
63,LAWRENCE OF ARABIA,98%,93%,PG (N/A),"Action & Adventure, Classics, Drama",David Lean,Robert Bolt,"$414,984,497"
